type,name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize
mammal,aardvark,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,no,no,yes
mammal,antelope,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,no,yes
fish,bass,no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,0,yes,no,no
mammal,bear,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,no,no,yes
mammal,boar,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,yes
mammal,buffalo,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,no,yes
mammal,calf,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,yes,yes
fish,carp,no,no,yes,no,no,yes,no,yes,yes,no,no,yes,0,yes,yes,no
fish,catfish,no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,0,yes,no,no
mammal,cavy,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,no,yes,no
mammal,cheetah,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,yes
bird,chicken,no,yes,yes,no,yes,no,no,no,yes,yes,no,no,2,yes,yes,no
fish,chub,no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,0,yes,no,no
invertebrate,clam,no,no,yes,no,no,no,yes,no,no,no,no,no,0,no,no,no
invertebrate,crab,no,no,yes,no,no,yes,yes,no,no,no,no,no,4,no,no,no
invertebrate,crayfish,no,no,yes,no,no,yes,yes,no,no,no,no,no,6,no,no,no
bird,crow,no,yes,yes,no,yes,no,yes,no,yes,yes,no,no,2,yes,no,no
mammal,deer,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,no,yes
fish,dogfish,no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,0,yes,no,yes
mammal,dolphin,no,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,0,yes,no,yes
bird,dove,no,yes,yes,no,yes,no,no,no,yes,yes,no,no,2,yes,yes,no
bird,duck,no,yes,yes,no,yes,yes,no,no,yes,yes,no,no,2,yes,no,no
mammal,elephant,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,no,yes
bird,flamingo,no,yes,yes,no,yes,no,no,no,yes,yes,no,no,2,yes,no,yes
insect,flea,no,no,yes,no,no,no,no,no,no,yes,no,no,6,no,no,no
amphibian,frog,no,no,yes,no,no,yes,yes,yes,yes,yes,no,no,4,no,no,no
mammal,fruitbat,yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,2,yes,no,no
mammal,giraffe,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,no,yes
mammal,girl,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,2,no,yes,yes
insect,gnat,no,no,yes,no,yes,no,no,no,no,yes,no,no,6,no,no,no
mammal,goat,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,yes,yes
mammal,gorilla,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,2,no,no,yes
bird,gull,no,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,2,yes,no,no
fish,haddock,no,no,yes,no,no,yes,no,yes,yes,no,no,yes,0,yes,no,no
mammal,hamster,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,yes,no
mammal,hare,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,no,no
bird,hawk,no,yes,yes,no,yes,no,yes,no,yes,yes,no,no,2,yes,no,no
fish,herring,no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,0,yes,no,no
insect,honeybee,yes,no,yes,no,yes,no,no,no,no,yes,yes,no,6,no,yes,no
insect,housefly,yes,no,yes,no,yes,no,no,no,no,yes,no,no,6,no,no,no
bird,kiwi,no,yes,yes,no,no,no,yes,no,yes,yes,no,no,2,yes,no,no
insect,ladybird,no,no,yes,no,yes,no,yes,no,no,yes,no,no,6,no,no,no
bird,lark,no,yes,yes,no,yes,no,no,no,yes,yes,no,no,2,yes,no,no
mammal,leopard,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,yes
mammal,lion,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,yes
invertebrate,lobster,no,no,yes,no,no,yes,yes,no,no,no,no,no,6,no,no,no
mammal,lynx,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,yes
mammal,mink,yes,no,no,yes,no,yes,yes,yes,yes,yes,no,no,4,yes,no,yes
mammal,mole,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,no
mammal,mongoose,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,yes
insect,moth,yes,no,yes,no,yes,no,no,no,no,yes,no,no,6,no,no,no
amphibian,newt,no,no,yes,no,no,yes,yes,yes,yes,yes,no,no,4,yes,no,no
invertebrate,octopus,no,no,yes,no,no,yes,yes,no,no,no,no,no,8,no,no,yes
mammal,opossum,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,no
mammal,oryx,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,no,yes
bird,ostrich,no,yes,yes,no,no,no,no,no,yes,yes,no,no,2,yes,no,yes
bird,parakeet,no,yes,yes,no,yes,no,no,no,yes,yes,no,no,2,yes,yes,no
bird,penguin,no,yes,yes,no,no,yes,yes,no,yes,yes,no,no,2,yes,no,yes
bird,pheasant,no,yes,yes,no,yes,no,no,no,yes,yes,no,no,2,yes,no,no
fish,pike,no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,0,yes,no,yes
fish,piranha,no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,0,yes,no,no
reptile,pitviper,no,no,yes,no,no,no,yes,yes,yes,yes,yes,no,0,yes,no,no
mammal,platypus,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,4,yes,no,yes
mammal,polecat,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,yes
mammal,pony,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,yes,yes
mammal,porpoise,no,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,0,yes,no,yes
mammal,puma,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,yes
mammal,pussycat,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,yes,yes
mammal,raccoon,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,yes
mammal,reindeer,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,yes,yes
bird,rhea,no,yes,yes,no,no,no,yes,no,yes,yes,no,no,2,yes,no,yes
invertebrate,scorpion,no,no,no,no,no,no,yes,no,no,yes,yes,no,8,yes,no,no
fish,seahorse,no,no,yes,no,no,yes,no,yes,yes,no,no,yes,0,yes,no,no
mammal,seal,yes,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,0,no,no,yes
mammal,sealion,yes,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,2,yes,no,yes
reptile,seasnake,no,no,no,no,no,yes,yes,yes,yes,no,yes,no,0,yes,no,no
invertebrate,seawasp,no,no,yes,no,no,yes,yes,no,no,no,yes,no,0,no,no,no
bird,skimmer,no,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,2,yes,no,no
bird,skua,no,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,2,yes,no,no
reptile,slowworm,no,no,yes,no,no,no,yes,yes,yes,yes,no,no,0,yes,no,no
invertebrate,slug,no,no,yes,no,no,no,no,no,no,yes,no,no,0,no,no,no
fish,sole,no,no,yes,no,no,yes,no,yes,yes,no,no,yes,0,yes,no,no
bird,sparrow,no,yes,yes,no,yes,no,no,no,yes,yes,no,no,2,yes,no,no
mammal,squirrel,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,2,yes,no,no
invertebrate,starfish,no,no,yes,no,no,yes,yes,no,no,no,no,no,5,no,no,no
fish,stingray,no,no,yes,no,no,yes,yes,yes,yes,no,yes,yes,0,yes,no,yes
bird,swan,no,yes,yes,no,yes,yes,no,no,yes,yes,no,no,2,yes,no,yes
insect,termite,no,no,yes,no,no,no,no,no,no,yes,no,no,6,no,no,no
amphibian,toad,no,no,yes,no,no,yes,no,yes,yes,yes,no,no,4,no,no,no
reptile,tortoise,no,no,yes,no,no,no,no,no,yes,yes,no,no,4,yes,no,yes
reptile,tuatara,no,no,yes,no,no,no,yes,yes,yes,yes,no,no,4,yes,no,no
fish,tuna,no,no,yes,no,no,yes,yes,yes,yes,no,no,yes,0,yes,no,yes
mammal,vampire,yes,no,no,yes,yes,no,no,yes,yes,yes,no,no,2,yes,no,no
mammal,vole,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,4,yes,no,no
bird,vulture,no,yes,yes,no,yes,no,yes,no,yes,yes,no,no,2,yes,no,yes
mammal,wallaby,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,2,yes,no,yes
insect,wasp,yes,no,yes,no,yes,no,no,no,no,yes,yes,no,6,no,no,no
mammal,wolf,yes,no,no,yes,no,no,yes,yes,yes,yes,no,no,4,yes,no,yes
invertebrate,worm,no,no,yes,no,no,no,no,no,no,yes,no,no,0,no,no,no
bird,wren,no,yes,yes,no,yes,no,no,no,yes,yes,no,no,2,yes,no,no
